,/'DataLog'/'Speed',/'DataLog'/'FrontBPS',/'DataLog'/'RearBPS',/'DataLog'/'Active_Regen_Flag ',/'DataLog'/'RegenStatus',/'DataLog'/'Regen_Flag',/'DataLog'/'Regen_Limit',/'DataLog'/'Rear_Bps_Value',/'DataLog'/'Front_BPS_Value',/'DataLog'/'Throttle',/'DataLog'/'Torque_Act',/'DataLog'/'Kalman_Filter_SOC',/'DataLog'/'STA_BrakeStatus ',/'DataLog'/'Vehicle_Speed',/'DataLog'/'Throttle(%)'
1.54,3220.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,16.0,4.0,93.0,1.0,1.0,1.0
1.55,3320.0,0.0,0.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,2.0,93.0,1.0,1.0,1.0
1.56,3384.0,0.9,2.2,0.0,1.0,1.0,20.0,0.0,0.0,49.0,0.0,93.0,1.0,1.0,36.0
1.57,3405.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,12.0,-0.0,93.0,1.0,1.0,21.0
1.58,3387.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,62.0,0.0,93.0,1.0,1.0,60.0
1.59,3356.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,44.0,-0.0,93.0,1.0,1.0,68.0
1.6,3336.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,33.0,-1.0,93.0,1.0,1.0,100.0
1.61,3269.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
1.62,3224.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,96.0,-1.0,93.0,1.0,1.0,5.0
1.6300000000000001,3183.0,1.3,3.3,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,17.0
1.6400000000000001,3145.0,1.2,3.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,-0.0,93.0,1.0,1.0,17.0
1.6500000000000001,3103.0,0.3,0.7,0.0,0.0,1.0,20.0,0.0,0.0,0.0,-1.0,93.0,1.0,1.0,21.0
1.6600000000000001,3053.0,1.7,4.2,0.0,0.0,1.0,20.0,0.0,0.0,43.0,-1.0,93.0,1.0,1.0,25.0
1.67,3024.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,63.0,-2.0,93.0,1.0,1.0,23.0
1.68,2919.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,-2.0,93.0,1.0,1.0,100.0
1.69,2837.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,-2.0,93.0,1.0,1.0,100.0
1.7,2763.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,-0.0,93.0,1.0,1.0,100.0
1.71,2732.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,-0.0,93.0,1.0,1.0,0.0
1.72,2649.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,4.0,-0.0,93.0,1.0,1.0,100.0
1.73,2593.0,0.0,0.0,0.0,1.0,1.0,20.0,0.0,0.0,18.0,-1.0,93.0,1.0,1.0,100.0
1.74,2528.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,-1.0,93.0,1.0,1.0,100.0
1.75,2474.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,-0.0,93.0,1.0,1.0,97.0
1.76,2452.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,0.0,93.0,1.0,1.0,100.0
1.77,2392.0,0.1,0.2,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
1.78,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,93.0,1.0,1.0,100.0
